velocity_ms,lateral_accel_ms2,max_accel_ms2,max_brake_ms2
1.5,45,0,-0.00134877
1.5,46,0,-0.00134877
1.5,47,0,-0.00134877
1.5,48,0,-0.00134877
1.5,49,0,-0.00134877
1.5,50,0,-0.00134877
2,0,0,-17.1854
2,1,0,-17.1563
2,2,0,-17.0686
2,3,0,-16.9215
2,4,0,-16.7134
2,5,0,-16.4419
2,6,0,-16.1039
2,7,0,-15.695
2,8,0,-15.2095
2,9,0,-14.6399
2,10,0,-13.9758
2,11,0,-13.203
2,12,0,-12.3011
2,13,0,-11.2388
2,14,0,-9.96517
2,15,0,-8.38433
2,16,0,-6.26793
2,17,0,-2.50377
2,18,0,-0.00239781
2,19,0,-0.00239781
2,20,0,-0.00239781
2,21,0,-0.00239781
2,22,0,-0.00239781
2,23,0,-0.00239781
2,24,0,-0.00239781
2,25,0,-0.00239781
2,26,0,-0.00239781
2,27,0,-0.00239781
2,28,0,-0.00239781
2,29,0,-0.00239781
2,30,0,-0.00239781
2,31,0,-0.00239781
2,32,0,-0.00239781
2,33,0,-0.00239781
2,34,0,-0.00239781
2,35,0,-0.00239781
2,36,0,-0.00239781
2,37,0,-0.00239781
2,38,0,-0.00239781
2,39,0,-0.00239781
2,40,0,-0.00239781
2,41,0,-0.00239781
2,42,0,-0.00239781
2,43,0,-0.00239781
2,44,0,-0.00239781
2,45,0,-0.00239781
2,46,0,-0.00239781
2,47,0,-0.00239781
2,48,0,-0.00239781
2,49,0,-0.00239781
2,50,0,-0.00239781
2.5,0,0,-17.1919
2.5,1,0,-17.1628
2.5,2,0,-17.0752
2.5,3,0,-16.9281
2.5,4,0,-16.72
2.5,5,0,-16.4486
2.5,6,0,-16.1107
2.5,7,0,-15.702
2.5,8,0,-15.2167
2.5,9,0,-14.6473
2.5,10,0,-13.9835
2.5,11,0,-13.2111
2.5,12,0,-12.3096
2.5,13,0,-11.248
2.5,14,0,-9.9754
2.5,15,0,-8.39624
2.5,16,0,-6.28339
2.5,17,0,-2.54026
2.5,18,0,-0.00374657
2.5,19,0,-0.00374657
2.5,20,0,-0.00374657
2.5,21,0,-0.00374657
2.5,22,0,-0.00374657
2.5,23,0,-0.00374657
2.5,24,0,-0.00374657
2.5,25,0,-0.00374657
2.5,26,0,-0.00374657
2.5,27,0,-0.00374657
2.5,28,0,-0.00374657
2.5,29,0,-0.00374657
2.5,30,0,-0.00374657
2.5,31,0,-0.00374657
2.5,32,0,-0.00374657
2.5,33,0,-0.00374657
2.5,34,0,-0.00374657
2.5,35,0,-0.00374657
2.5,36,0,-0.00374657
2.5,37,0,-0.00374657
2.5,38,0,-0.00374657
2.5,39,0,-0.00374657
2.5,40,0,-0.00374657
2.5,41,0,-0.00374657
2.5,42,0,-0.00374657
2.5,43,0,-0.00374657
2.5,44,0,-0.00374657
2.5,45,0,-0.00374657
2.5,46,0,-0.00374657
2.5,47,0,-0.00374657
2.5,48,0,-0.00374657
2.5,49,0,-0.00374657
2.5,50,0,-0.00374657
3,0,0,-17.1999
3,1,0,-17.1708
3,2,0,-17.0832
3,3,0,-16.9361
3,4,0,-16.7281
3,5,0,-16.4568
3,6,0,-16.1191
3,7,0,-15.7105
3,8,0,-15.2255
3,9,0,-14.6563
3,10,0,-13.9929
3,11,0,-13.2209
3,12,0,-12.32
3,13,0,-11.2593
3,14,0,-9.9879
3,15,0,-8.41077
3,16,0,-6.30225
3,17,0,-2.58422
3,18,0,-0.00539507
3,19,0,-0.00539507
3,20,0,-0.00539507
3,21,0,-0.00539507
3,22,0,-0.00539507
3,23,0,-0.00539507
3,24,0,-0.00539507
3,25,0,-0.00539507
3,26,0,-0.00539507
3,27,0,-0.00539507
3,28,0,-0.00539507
3,29,0,-0.00539507
3,30,0,-0.00539507
3,31,0,-0.00539507
3,32,0,-0.00539507
3,33,0,-0.00539507
3,34,0,-0.00539507
3,35,0,-0.00539507
3,36,0,-0.00539507
